ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
23/08/2020,2020-08-23,10.5,1898
20/08/2020,2020-08-20,11,1650
18/08/2020,2020-08-18,11,1800
16/08/2020,2020-08-16,8.5,1716
14/08/2020,2020-08-14,10,1650
14/08/2020,2020-08-14,11.5,1595
13/08/2020,2020-08-13,10.5,1799
13/08/2020,2020-08-13,11,1725
12/08/2020,2020-08-12,11.5,1500
10/08/2020,2020-08-10,11,1750
09/08/2020,2020-08-09,10.5,1595
08/08/2020,2020-08-08,9,1944
07/08/2020,2020-08-07,10,1699
06/08/2020,2020-08-06,10.5,1750
05/08/2020,2020-08-05,10,1660
05/08/2020,2020-08-05,11,1700
05/08/2020,2020-08-05,11,1535
05/08/2020,2020-08-05,11,1529
05/08/2020,2020-08-05,12,1500
04/08/2020,2020-08-04,9,1644
04/08/2020,2020-08-04,9.5,1900
04/08/2020,2020-08-04,11,1499
04/08/2020,2020-08-04,12,1386
03/08/2020,2020-08-03,10,1650
01/08/2020,2020-08-01,10.5,1780
31/07/2020,2020-07-31,9,1875
30/07/2020,2020-07-30,8.5,1867
30/07/2020,2020-07-30,10.5,1750
30/07/2020,2020-07-30,13,1500
30/07/2020,2020-07-30,13,1450
28/07/2020,2020-07-28,9.5,1900
28/07/2020,2020-07-28,11,1400
27/07/2020,2020-07-27,9,1845
27/07/2020,2020-07-27,9,1650
27/07/2020,2020-07-27,11,1400
26/07/2020,2020-07-26,9.5,1801
26/07/2020,2020-07-26,10.5,1650
25/07/2020,2020-07-25,9,1587
25/07/2020,2020-07-25,10,1480
24/07/2020,2020-07-24,9.5,1410
23/07/2020,2020-07-23,9,1714
23/07/2020,2020-07-23,9.5,1799
23/07/2020,2020-07-23,10.5,1653
23/07/2020,2020-07-23,13,1399
22/07/2020,2020-07-22,10,1650
22/07/2020,2020-07-22,10.5,1700
21/07/2020,2020-07-21,8.5,1851
21/07/2020,2020-07-21,11,1500
20/07/2020,2020-07-20,9,1719
20/07/2020,2020-07-20,10,1701
20/07/2020,2020-07-20,11,1701
19/07/2020,2020-07-19,8.5,2172
19/07/2020,2020-07-19,10,1495
19/07/2020,2020-07-19,11,1670
18/07/2020,2020-07-18,9.5,1600
18/07/2020,2020-07-18,10.5,1650
17/07/2020,2020-07-17,13,1351
16/07/2020,2020-07-16,10,1522
16/07/2020,2020-07-16,11.5,1400
14/07/2020,2020-07-14,9.5,1510
14/07/2020,2020-07-14,10,1599
14/07/2020,2020-07-14,11,1450
14/07/2020,2020-07-14,13,1150
13/07/2020,2020-07-13,9.5,1481
11/07/2020,2020-07-11,11,1616
11/07/2020,2020-07-11,13,1349
10/07/2020,2020-07-10,10.5,1475
09/07/2020,2020-07-09,8.5,1719
09/07/2020,2020-07-09,10.5,1772
09/07/2020,2020-07-09,11,1729
09/07/2020,2020-07-09,12,1267
08/07/2020,2020-07-08,9.5,1607
08/07/2020,2020-07-08,11.5,1450
08/07/2020,2020-07-08,11.5,1400
07/07/2020,2020-07-07,10.5,1490
06/07/2020,2020-07-06,9.5,1600
06/07/2020,2020-07-06,10,1775
06/07/2020,2020-07-06,10.5,1800
04/07/2020,2020-07-04,9.5,1599
04/07/2020,2020-07-04,10,1765
04/07/2020,2020-07-04,13,1290
03/07/2020,2020-07-03,9.5,1641
03/07/2020,2020-07-03,11,1609
02/07/2020,2020-07-02,9.5,1540
01/07/2020,2020-07-01,8.5,1450
01/07/2020,2020-07-01,11,1649
30/06/2020,2020-06-30,11.5,1697
29/06/2020,2020-06-29,9.5,1400
29/06/2020,2020-06-29,9.5,1500
29/06/2020,2020-06-29,9.5,1636
28/06/2020,2020-06-28,10.5,1601
27/06/2020,2020-06-27,10.5,1590
26/06/2020,2020-06-26,13,1260
25/06/2020,2020-06-25,10.5,1633
25/06/2020,2020-06-25,11,1700
25/06/2020,2020-06-25,11.5,1501
24/06/2020,2020-06-24,11,1501
23/06/2020,2020-06-23,8.5,1742
23/06/2020,2020-06-23,10.5,1600
22/06/2020,2020-06-22,9,1799
22/06/2020,2020-06-22,10,1626
22/06/2020,2020-06-22,12,1300
21/06/2020,2020-06-21,10,1573
21/06/2020,2020-06-21,10,1470
21/06/2020,2020-06-21,10.5,1362
20/06/2020,2020-06-20,9.5,1526
20/06/2020,2020-06-20,11,1550
19/06/2020,2020-06-19,9.5,1768
18/06/2020,2020-06-18,10.5,1486
18/06/2020,2020-06-18,10.5,1600
18/06/2020,2020-06-18,11,1599
17/06/2020,2020-06-17,10,1500
17/06/2020,2020-06-17,11,1549
17/06/2020,2020-06-17,12,1220
16/06/2020,2020-06-16,11,1501
15/06/2020,2020-06-15,10.5,1600
15/06/2020,2020-06-15,12,1175
14/06/2020,2020-06-14,9,1555
14/06/2020,2020-06-14,9.5,1699
14/06/2020,2020-06-14,10.5,1415
14/06/2020,2020-06-14,11,1455
14/06/2020,2020-06-14,11,1225
13/06/2020,2020-06-13,8.5,1849
13/06/2020,2020-06-13,11,1300
13/06/2020,2020-06-13,11.5,1650
12/06/2020,2020-06-12,10.5,1335
12/06/2020,2020-06-12,12,1100
11/06/2020,2020-06-11,10,1776
11/06/2020,2020-06-11,11.5,1200
11/06/2020,2020-06-11,12,1765
10/06/2020,2020-06-10,11.5,1200
10/06/2020,2020-06-10,13,1245
